country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment_x;EMO_Sentiment_stderr_x;EMO_VAD_V_x;EMO_VAD_A_x;EMO_VAD_D_x;EMO_VAD_V_stderr_x;EMO_VAD_A_stderr_x;EMO_VAD_D_stderr_x;EMO_Big5_O_x;EMO_Big5_C_x;EMO_Big5_E_x;EMO_Big5_A_x;EMO_Big5_N_x;EMO_Big5_O_stderr_x;EMO_Big5_C_stderr_x;EMO_Big5_E_stderr_x;EMO_Big5_A_stderr_x;EMO_Big5_N_stderr_x;EMO_Sentiment_y;EMO_Sentiment_stderr_y;EMO_VAD_V_y;EMO_VAD_A_y;EMO_VAD_D_y;EMO_VAD_V_stderr_y;EMO_VAD_A_stderr_y;EMO_VAD_D_stderr_y;EMO_Big5_O_y;EMO_Big5_C_y;EMO_Big5_E_y;EMO_Big5_A_y;EMO_Big5_N_y;EMO_Big5_O_stderr_y;EMO_Big5_C_stderr_y;EMO_Big5_E_stderr_y;EMO_Big5_A_stderr_y;EMO_Big5_N_stderr_y
Israel;ISR;2020-01-22;0;0;0;;;;;-0.09798192771084337;0.06366859301062285;5.270963050092083;5.22844394196007;4.276583039720136;0.07745911605444555;0.04909269407776165;0.04111873131447903;0.00035689285714285695;0.0017319285714285715;-0.026434729166666653;-0.0008835625;0.07955918363095241;0.0015373353243409858;0.001213474107798286;0.0037107160902294023;0.0008835625000000002;0.0027368620417733123;-0.09798192771084335;0.06366859301062285;5.270963050092083;5.22844394196007;4.276583039720136;0.07745911605444555;0.04909269407776165;0.04111873131447903;0.00035689285714285695;0.0017319285714285715;-0.026434729166666653;-0.0008835625;0.07955918363095241;0.001537335324340986;0.0012134741077982861;0.003710716090229402;0.0008835625000000002;0.0027368620417733123
Israel;ISR;2020-01-23;0;0;0;;;;;-0.1867287128712872;0.03408761795843942;5.2941316180654425;5.230000450721038;4.334357123430653;0.05429855030908028;0.03629337904044081;0.029501105333012218;0.0;0.0;-0.022507611772486783;0.0015258723544973546;0.07516346819098013;0.0;0.0;0.0029823273339776852;0.0006355976360269159;0.003075274451586289;-0.18672871287128717;0.03408761795843942;5.2941316180654425;5.230000450721037;4.334357123430653;0.05429855030908028;0.03629337904044081;0.02950110533301222;0.0;0.0;-0.022507611772486783;0.0015258723544973544;0.07516346819098012;0.0;0.0;0.002982327333977685;0.0006355976360269159;0.0030752744515862886
Israel;ISR;2020-01-24;0;0;0;;;;;-0.027852272727272708;0.032866049754943887;5.530345425752883;5.3653312333768115;4.345590216490082;0.05052886821109588;0.032909302705032416;0.025373363154799582;-0.002136205882352941;0.0001380245098039213;-0.02362468991596639;-0.0009658447712418305;0.06345224738951137;0.0009630679873948428;0.0009342115139468774;0.002318363233397317;0.0008880149938405052;0.0028775268947656128;-0.02785227272727271;0.03286604975494389;5.530345425752883;5.365331233376812;4.345590216490082;0.05052886821109588;0.03290930270503241;0.02537336315479958;-0.002136205882352941;0.0001380245098039213;-0.02362468991596639;-0.0009658447712418305;0.06345224738951138;0.0009630679873948429;0.0009342115139468771;0.0023183632333973175;0.0008880149938405053;0.0028775268947656128
Israel;ISR;2020-01-25;0;0;0;;;;;-0.1543062841530054;0.02824783426823145;5.287395221365296;5.200253270504857;4.340849597556091;0.043673347800396486;0.030857268007581536;0.025517886636641254;-0.0008729814049586777;-0.0007820123966942151;-0.02230515881542696;0.0008226976584022031;0.06336357669314167;0.0008749084336189842;0.0007158909431511916;0.002516444095414406;0.001044343612409498;0.002735001107044609;-0.1543062841530054;0.02824783426823145;5.287395221365296;5.200253270504857;4.340849597556092;0.043673347800396486;0.030857268007581536;0.025517886636641254;-0.0008729814049586777;-0.0007820123966942151;-0.02230515881542696;0.0008226976584022031;0.06336357669314167;0.0008749084336189842;0.0007158909431511916;0.002516444095414406;0.001044343612409498;0.0027350011070446096
Israel;ISR;2020-01-26;0;0;0;;;;;-0.24105369978858346;0.020885746107278638;5.311653204119123;5.209358810436375;4.198818796294824;0.03091056207968493;0.02253603915228292;0.0220583730441382;-0.0021598483213429256;-0.002034160071942446;-0.02426435059952035;-0.0006479593182596782;0.07192243324455322;0.0007724175160299806;0.0006800389598818647;0.0020399982019383245;0.0007502413731741611;0.0022315370031623745;-0.24105369978858343;0.020885746107278634;5.311653204119123;5.209358810436375;4.198818796294824;0.03091056207968493;0.022536039152282916;0.022058373044138196;-0.0021598483213429256;-0.002034160071942446;-0.02426435059952035;-0.0006479593182596782;0.07192243324455323;0.0007724175160299806;0.0006800389598818647;0.0020399982019383245;0.000750241373174161;0.0022315370031623745
Israel;ISR;2020-01-27;0;0;0;;;;;-0.2923893732970025;0.02616601431251185;5.1696026412539275;5.169571355477267;4.279904393311348;0.03782977311163378;0.029504491547681595;0.02399223803933496;-0.00320309561752988;-0.0058128844621513935;-0.025732455511288124;-0.00020402988047808792;0.06551167362234922;0.0008238015733622907;0.0011170690305528617;0.0024114988870559484;0.0008721110113009037;0.002738739754182007;-0.29238937329700254;0.02616601431251185;5.169602641253928;5.169571355477266;4.279904393311348;0.03782977311163378;0.029504491547681592;0.023992238039334965;-0.00320309561752988;-0.0058128844621513935;-0.025732455511288124;-0.00020402988047808792;0.06551167362234922;0.0008238015733622908;0.0011170690305528615;0.0024114988870559484;0.0008721110113009037;0.0027387397541820064
Israel;ISR;2020-01-28;0;0;0;;;;;-0.1495173252279636;0.02847843882940935;5.264190241218348;5.2764339419620505;4.261900209176094;0.048940634905488785;0.0339136659710495;0.027285866333582324;-0.003431698347107438;-0.003380675619834709;-0.017979744264069283;0.0018651792964611141;0.06504423356815174;0.0007803237421820943;0.0008711255659101939;0.0023299936206782213;0.0007416544834512995;0.0028501751992494728;-0.1495173252279636;0.028478438829409352;5.264190241218348;5.2764339419620505;4.261900209176094;0.04894063490548879;0.0339136659710495;0.027285866333582324;-0.003431698347107438;-0.0033806756198347093;-0.017979744264069283;0.001865179296461114;0.06504423356815174;0.0007803237421820944;0.0008711255659101939;0.0023299936206782217;0.0007416544834512995;0.0028501751992494723
Israel;ISR;2020-01-29;0;0;0;;;;;-0.07748051470588238;0.03142173384298296;5.28663974083134;5.280830624595854;4.304958118808743;0.04277788690231823;0.03143856190787924;0.02634603667969364;-0.004359780423280424;-0.0010770740740740738;-0.02539537786596122;-0.0002809065255731923;0.0696525207105064;0.0015403591115269802;0.0008950522506418953;0.002307936630418432;0.0006078829126782175;0.0025918090648498647;-0.07748051470588237;0.03142173384298296;5.286639740831341;5.280830624595853;4.3049581188087425;0.04277788690231823;0.03143856190787924;0.02634603667969364;-0.004359780423280424;-0.0010770740740740738;-0.02539537786596122;-0.0002809065255731923;0.0696525207105064;0.0015403591115269802;0.0008950522506418953;0.002307936630418432;0.0006078829126782175;0.0025918090648498647
Israel;ISR;2020-01-30;0;0;0;;;;;-0.10387035398230098;0.024847080761310387;5.28947514723467;5.251293624078689;4.23092705686693;0.03929257387336327;0.02907964627900235;0.02236380079277529;-0.0019105052631578946;-0.0016512027412280699;-0.025992828409565537;0.000571661458333333;0.06840430148970178;0.0007178320921157313;0.0005871579486171009;0.001957460527559833;0.0006218206663607305;0.0021126004866196604;-0.10387035398230098;0.024847080761310387;5.28947514723467;5.251293624078688;4.23092705686693;0.03929257387336327;0.02907964627900235;0.02236380079277529;-0.0019105052631578944;-0.00165120274122807;-0.025992828409565537;0.000571661458333333;0.06840430148970178;0.0007178320921157314;0.0005871579486171009;0.001957460527559833;0.0006218206663607305;0.0021126004866196604
Israel;ISR;2020-01-31;0;0;0;;;;;-0.21659734748010606;0.027716808036298158;5.141415443965439;5.20379296697239;4.314349930872401;0.0430048124105113;0.03048229245531505;0.02482891011219855;-0.002643128225806452;-0.0022117570564516124;-0.026333964157706054;0.00013835766129032198;0.0684491890608831;0.0008398304511642397;0.0007092734616130194;0.0020263940047988357;0.0009514482053284398;0.002262873915458048;-0.21659734748010612;0.027716808036298154;5.141415443965438;5.20379296697239;4.314349930872401;0.0430048124105113;0.03048229245531505;0.02482891011219855;-0.002643128225806452;-0.0022117570564516124;-0.026333964157706054;0.00013835766129032198;0.0684491890608831;0.0008398304511642397;0.0007092734616130194;0.002026394004798836;0.0009514482053284398;0.0022628739154580474
