datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,RUS,ru,2138,387,41,1710,22,173,133,310,104,192,13,160,1,1,114,16,1,1,0,6,1507005,2360141,16471657,312,0,143878,72,963,4,1099,0.1680,5.3540,5.3040,4.2210,0.0030,0.0070,-0.0450,0.0100,0.0790,0.6100,0.0000,-0.0120,0,0,0,0
2020-01-23,RUS,ru,3920,594,76,3250,53,430,203,486,125,342,34,396,1,9,138,46,9,20,0,17,3761585,1979203,13025620,29120,0,384411,81,1599,15,2225,0.0800,5.7060,5.4410,4.4650,-0.0480,-0.0490,-0.0390,-0.0040,0.0800,0.3450,0.0000,-0.0070,0,0,0,0
2020-01-24,RUS,ru,8083,1428,152,6503,103,608,289,725,208,470,19,589,0,13,179,66,31,4,4,26,3368421,4374874,26105208,1481,11149,4120842,113,3390,10,4570,0.1230,5.8510,5.5310,4.4140,-0.0490,0.0020,-0.0270,-0.0010,0.0700,0.5650,0.8830,-0.0000,0,0,0,0
2020-01-25,RUS,ru,13088,1773,245,11070,75,849,238,771,178,538,30,819,0,18,126,70,24,5,1,14,2276020,1803576,23062030,1640,1184,6314456,58,5244,15,7771,-0.0840,5.4440,5.3170,4.2790,-0.0340,-0.0300,-0.0270,0.0020,0.0590,0.4420,0.4190,,0,0,0,0
2020-01-26,RUS,ru,12272,1748,269,10255,149,575,327,1116,225,769,15,560,1,35,139,99,53,11,0,37,1754307,4064048,32863536,16143,0,15960564,68,5008,19,7177,-0.1300,5.2960,5.2060,4.3090,-0.0250,-0.0460,-0.0420,0.0060,0.0660,0.6980,0.0000,,0,0,0,0
2020-01-27,RUS,ru,8635,1491,212,6932,116,704,276,943,245,620,21,683,3,6,185,42,40,12,1,42,2300658,3927667,25046010,9177,1262,5382883,73,3393,28,5141,-0.2060,5.1290,5.1530,4.4240,-0.0480,-0.0520,-0.0320,0.0150,0.0580,0.6310,0.1210,-0.0120,0,0,0,0
2020-01-28,RUS,ru,7982,1846,278,5858,173,511,350,1023,285,655,28,483,2,3,231,80,34,8,2,49,4909852,3816058,36545004,22215,2895,3700959,167,3232,24,4559,-0.1150,5.2470,5.2860,4.2690,-0.0450,-0.0450,-0.0210,0.0100,0.0550,0.4370,0.1150,0.0050,0,0,0,0
2020-01-29,RUS,ru,8703,1943,209,6551,147,354,205,613,155,404,6,348,4,14,119,44,24,4,4,26,1067629,2090959,18661677,3852,3676,1048064,154,3732,14,4803,-0.0810,5.2710,5.2190,4.3350,-0.0660,-0.0490,-0.0330,0.0060,0.0630,0.6620,0.4880,0.0010,0,0,0,0
2020-01-30,RUS,ru,15107,3354,279,11474,159,445,356,1472,422,434,10,435,3,28,256,47,22,2,2,18,5256260,5053180,27989571,111035,1794,115104,211,6370,31,8495,-0.0120,5.2680,5.2530,4.2470,-0.0570,-0.0540,-0.0360,0.0130,0.0640,0.4900,0.0160,0.0000,0,0,0,0
2020-01-31,RUS,ru,12497,2549,383,9565,200,422,362,829,280,414,10,412,1,50,213,63,35,6,9,26,1815311,3332798,37286497,3850,18283,3382061,160,5193,48,7096,-0.0910,5.1660,5.2340,4.3050,-0.0440,-0.0450,-0.0370,-0.0030,0.0660,0.6470,0.8260,-0.0180,0,0,0,0
2020-02-01,RUS,ru,6156,1246,210,4700,101,263,179,538,244,246,6,257,0,24,71,31,53,2,4,22,2714757,1455760,27561249,761,2650,6610465,86,2474,15,3581,-0.1380,5.1220,5.2090,4.3390,-0.0500,-0.0510,-0.0420,-0.0150,0.0700,0.3490,0.7770,,2,2,0,0
2020-02-02,RUS,ru,6650,1420,232,4998,147,271,154,482,137,279,2,269,0,16,80,25,33,1,4,28,1623007,1680158,25916066,158,2856,10308479,114,2560,7,3969,-0.1070,5.2000,5.2420,4.2880,-0.0310,-0.0350,-0.0410,0.0130,0.0720,0.5090,0.9480,,2,0,0,0
2020-02-03,RUS,ru,4484,1175,249,3060,129,185,141,484,121,318,8,177,1,8,80,26,26,7,5,22,2433113,1272890,27634477,4048,2212,5246118,134,1670,23,2657,-0.1080,5.1740,5.1920,4.3330,-0.0090,-0.0260,-0.0420,0.0020,0.0760,0.3430,0.3530,0.0030,2,0,0,0
2020-02-04,RUS,ru,4544,1291,229,3024,86,186,140,456,119,310,17,169,1,0,75,29,35,4,4,13,4088928,1374302,13564137,9224,2507,48315,111,1758,13,2662,-0.1500,5.1350,5.1420,4.3450,-0.0260,-0.0410,-0.0390,0.0130,0.0690,0.2520,0.2140,0.0050,2,0,0,0
2020-02-05,RUS,ru,3711,1052,181,2478,75,165,83,390,132,230,7,158,0,3,46,19,15,1,1,7,2602034,1573800,19646045,34,13856,3158977,134,1533,8,2036,-0.0550,5.2660,5.2360,4.3320,-0.0340,-0.0300,-0.0410,0.0140,0.0720,0.3770,0.9980,0.0030,2,0,0,0
2020-02-06,RUS,ru,3932,1127,161,2644,84,197,142,426,119,270,4,193,0,0,88,34,20,1,0,6,12000619,2444382,13934207,1261,0,7289,156,1611,11,2154,-0.1760,5.1600,5.1580,4.3650,-0.0450,-0.0520,-0.0430,0.0010,0.0740,0.1690,0.0000,-0.0120,2,0,0,0
2020-02-07,RUS,ru,4788,1233,181,3374,119,660,94,474,138,292,6,654,0,2,50,24,18,11,1,21,4545427,1916971,17885278,10173,520,13147,157,1874,9,2748,-0.0880,5.2160,5.2100,4.3380,-0.0400,-0.0200,-0.0440,0.0040,0.0720,0.2970,0.0490,-0.0040,2,0,0,0
2020-02-08,RUS,ru,4365,1032,198,3135,86,804,72,604,261,324,6,798,0,5,31,21,15,7,1,7,3000617,1135035,27659689,21398,68,9553753,112,1852,16,2385,-0.1040,5.0350,5.1400,4.3010,-0.0370,-0.0270,-0.0410,-0.0090,0.0740,0.2740,0.0030,,2,0,0,0
2020-02-09,RUS,ru,4089,961,183,2945,83,327,110,778,430,329,9,318,0,28,55,13,14,3,3,7,796687,1264610,15466674,1049,8584,66253,75,1728,15,2271,-0.0610,5.2080,5.2510,4.2930,-0.0390,-0.0390,-0.0370,-0.0020,0.0750,0.6140,0.8910,,2,0,0,0
2020-02-10,RUS,ru,3920,1093,210,2617,83,224,124,681,310,346,5,219,0,2,76,20,26,0,0,14,3080541,1344904,12349972,0,0,1230820,115,1583,11,2211,-0.1030,5.2390,5.2340,4.3030,-0.0450,-0.0140,-0.0420,0.0010,0.0720,0.3040,,-0.0080,2,0,0,0
2020-02-11,RUS,ru,3748,1018,199,2531,68,241,114,363,88,258,8,233,0,4,77,24,9,1,1,10,1016771,1640205,10376627,12,1080,36734,80,1619,28,2021,-0.0960,5.1750,5.1670,4.3040,-0.0450,-0.0320,-0.0380,0.0080,0.0710,0.6170,0.9890,0.0080,2,0,0,0
2020-02-12,RUS,ru,3221,923,164,2134,72,161,90,370,137,203,1,160,0,1,61,21,7,4,1,8,3247980,1481293,7034309,6115,1788,9659,101,1345,27,1748,-0.0690,5.2620,5.2120,4.3130,-0.0360,-0.0350,-0.0380,0.0040,0.0760,0.3130,0.2260,0.0060,2,0,0,0
2020-02-13,RUS,ru,3275,900,126,2249,47,208,140,300,95,175,4,204,0,32,61,32,15,0,1,6,4794572,2354955,9684576,0,229,5108,117,1321,14,1823,-0.1400,5.2880,5.2570,4.3130,-0.0370,-0.0400,-0.0380,-0.0050,0.0700,0.3290,1.0000,-0.0020,2,0,0,0
2020-02-14,RUS,ru,2693,824,144,1725,102,209,125,287,83,184,2,207,0,37,58,25,5,3,0,47,1554955,1718012,12026223,2781,0,4689341,91,1139,16,1447,-0.1250,5.2800,5.2570,4.3430,-0.0430,-0.0490,-0.0410,-0.0140,0.0710,0.5250,0.0000,-0.0050,2,0,0,0
2020-02-15,RUS,ru,3114,766,150,2198,43,263,58,272,64,188,7,256,0,3,30,13,12,3,0,10,3486495,1110239,18725550,609,0,23861,73,1318,9,1714,-0.0730,5.2590,5.1890,4.3280,-0.0270,-0.0230,-0.0370,0.0080,0.0710,0.2420,0.0000,,2,0,0,0
2020-02-16,RUS,ru,3770,772,113,2885,58,852,77,272,51,200,2,850,0,9,35,17,16,0,1,7,3892917,1651926,11012849,0,1355,511556,74,1533,18,2145,-0.1180,5.2560,5.2150,4.3320,-0.0420,-0.0380,-0.0370,0.0080,0.0710,0.2980,1.0000,,2,0,0,0
2020-02-17,RUS,ru,3224,813,127,2284,59,252,111,304,76,197,1,251,0,23,56,22,10,0,0,11,3107499,1241992,6328768,0,0,4814,76,1373,12,1763,-0.0660,5.2150,5.2340,4.3410,-0.0570,-0.0340,-0.0410,0.0080,0.0730,0.2860,,0.0040,2,0,0,0
2020-02-18,RUS,ru,3659,907,103,2649,54,171,84,396,154,171,8,163,0,1,48,24,11,1,0,10,4489931,1590927,12221977,1501,0,96166,79,1488,3,2089,-0.1530,5.2860,5.2500,4.3510,-0.0370,-0.0400,-0.0090,0.0270,0.0620,0.2620,0.0000,-0.0100,2,0,0,0
2020-02-19,RUS,ru,3754,793,121,2840,50,133,94,357,156,155,7,126,1,22,45,16,10,0,0,15,7007729,1317251,5943971,0,0,110342,75,1508,5,2166,-0.1250,5.3630,5.2850,4.3460,-0.0390,-0.0400,0.0060,0.0300,0.0540,0.1580,,0.0080,2,0,0,0
2020-02-20,RUS,ru,3174,720,139,2315,43,239,65,231,59,152,5,234,1,1,36,11,16,0,0,7,4043925,1329194,7129497,0,0,472415,110,1279,3,1782,-0.0870,5.2580,5.2230,4.3340,-0.0390,-0.0420,-0.0360,0.0270,0.0710,0.2470,,0.0010,2,0,0,0
2020-02-21,RUS,ru,4206,959,194,3053,69,230,99,447,128,294,5,225,0,9,53,19,18,3,0,16,6930914,2181930,11174131,21722,0,373850,141,1643,8,2414,-0.1100,5.2640,5.2740,4.2790,-0.0120,-0.0160,-0.0290,0.0170,0.0700,0.2390,0.0000,-0.0010,2,0,0,0
2020-02-22,RUS,ru,4411,964,178,3269,58,602,79,464,94,341,8,594,0,6,44,17,12,4,0,15,5523398,1169418,16439363,9512,0,627143,67,1820,8,2516,-0.1120,5.2310,5.3110,4.2730,-0.0220,-0.0330,-0.0250,0.0110,0.0680,0.1750,0.0000,,2,0,0,0
2020-02-23,RUS,ru,5761,1203,208,4350,80,436,96,537,114,319,6,430,0,4,62,17,13,3,0,10,4185683,1495725,31958737,1398,0,604479,150,2395,12,3204,-0.1070,5.2810,5.2780,4.3070,0.0050,-0.0170,-0.0200,0.0160,0.0640,0.2630,0.0000,,2,0,0,0
2020-02-24,RUS,ru,8323,1800,333,6190,107,462,166,760,246,446,7,455,0,10,99,35,22,4,1,19,2797684,2358283,50253939,2658,4569,6277788,211,3345,20,4747,-0.0400,5.3610,5.3480,4.2570,-0.0150,-0.0220,-0.0320,0.0060,0.0710,0.4570,0.6320,,2,0,0,0
2020-02-25,RUS,ru,10847,2237,432,8178,170,481,315,1133,269,807,5,476,2,14,207,74,18,4,6,27,1353350,3657021,40767137,19243,18651,788314,226,4512,27,6082,-0.0410,5.3490,5.3400,4.2760,-0.0330,-0.0320,-0.0350,-0.0010,0.0700,0.7300,0.4920,-0.0180,2,0,0,0
2020-02-26,RUS,ru,12714,2243,421,10050,153,566,250,1204,332,823,10,556,1,32,170,32,15,2,2,52,1809620,2325087,27302850,7572,1304,1765774,162,5281,41,7230,-0.0380,5.3550,5.3360,4.3590,-0.0260,-0.0270,-0.0380,0.0000,0.0710,0.5620,0.1470,0.0080,2,0,0,0
2020-02-27,RUS,ru,13717,2458,498,10761,186,597,499,1166,331,786,14,583,68,21,325,65,20,9,2,42,3356201,4066510,24930291,19238,2205,4648525,195,5618,36,7868,0.0190,5.4170,5.3480,4.2980,-0.0280,-0.0290,-0.0410,-0.0000,0.0730,0.5480,0.1030,-0.0250,2,0,0,0
2020-02-28,RUS,ru,14965,2521,510,11934,183,514,728,1172,476,638,29,485,12,164,382,122,48,2,4,29,3150031,3656945,19322330,571,2073,805947,149,6156,26,8634,0.0530,5.4430,5.3900,4.3050,-0.0300,-0.0000,-0.0440,-0.0020,0.0740,0.5370,0.7840,-0.0230,2,0,0,0
2020-02-29,RUS,ru,13733,2113,508,11112,154,701,341,1126,671,395,43,658,1,46,203,71,20,4,3,29,2048615,3007160,28100336,1698,2111,997143,131,5657,21,7924,-0.0350,5.3990,5.3580,4.3320,-0.0390,-0.0260,-0.0410,-0.0070,0.0710,0.5950,0.5540,,2,0,0,0
2020-03-01,RUS,ru,13948,2092,457,11399,179,554,331,1202,593,532,18,536,2,119,128,65,17,6,1,21,3796571,2037270,28533910,24609,8,370645,147,5781,25,7995,-0.0320,5.3510,5.3120,4.3170,-0.0370,-0.0320,-0.0390,-0.0060,0.0700,0.3490,0.0000,,2,0,0,0
2020-03-02,RUS,ru,14970,2495,571,11904,267,590,276,1727,1085,574,17,573,1,43,157,41,34,4,1,38,1497506,3020660,26159917,4749,53,4400606,200,6324,35,8411,-0.0370,5.4290,5.3270,4.3290,-0.0480,-0.0320,-0.0420,-0.0150,0.0710,0.6690,0.0110,-0.0230,2,0,0,0
2020-03-03,RUS,ru,13516,2461,503,10552,186,558,226,1333,642,625,10,548,2,17,153,40,14,7,1,39,2043157,2385641,30366627,6528,6367,10754966,157,5970,38,7351,-0.0810,5.3620,5.3220,4.3090,-0.0620,-0.0390,-0.0440,-0.0190,0.0720,0.5390,0.4940,0.0010,3,1,0,0
2020-03-04,RUS,ru,13357,2392,449,10516,178,538,284,1191,450,685,15,523,4,13,204,47,16,10,4,78,2171296,3559643,47407832,13414,701,13286340,208,5720,31,7398,-0.0370,5.3890,5.3530,4.2900,-0.0670,-0.0430,-0.0440,-0.0160,0.0710,0.6210,0.0500,0.0100,4,1,0,0
2020-03-05,RUS,ru,13761,2547,542,10672,189,527,255,1457,809,574,21,506,3,36,172,27,17,5,2,38,3410699,3537739,45038560,61271,2158,16615975,226,6024,27,7484,-0.0460,5.4100,5.3550,4.2760,-0.0420,-0.0020,-0.0420,-0.0180,0.0730,0.5090,0.0340,-0.0130,4,0,0,0
