date;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;reliabile_num_local;reliabile_num_foreign;unreliabile_num_local;unreliabile_num_foreign;reliabile_fol_local;reliabile_fol_foreign;unreliabile_fol_local;unreliabile_fol_foreign;local_languages;iso3;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close
2020-01-22;15.0;11.0;;10.0;5.0;;;;17291.0;16134.0;1157.0;;;;-0.2831363636363636;0.17400719121645894;5.253555255350711;5.3650796778978584;4.050710955710956;0.1742173974252133;0.18383586045086603;0.11088496571308988;-0.006100666666666666;0.0;-0.03077878703703703;-0.005549277777777778;0.07371273650793651;0.006100666666666666;0.0;0.007969022135272287;0.005549277777777778;0.008159481255476705;1.0;;;2983.0;;;;1.0;;;;2983.0;;;['tk'];TKM;;;;;;;
2020-01-23;48.0;29.0;;32.0;16.0;;;;17226.0;9438.0;7788.0;;;;-0.11020357142857147;0.10669284344998464;5.956093975468974;5.624526875901876;4.50676388888889;0.18454481157377856;0.09506527348104983;0.07635007664725636;0.0;0.0;-0.026491967391304338;0.0;0.07348876231884058;0.0;0.0;0.006265792398531739;0.0;0.006717439699104389;6.0;1.0;;3145.0;245.0;;;6.0;;1.0;;3145.0;;245.0;['tk'];TKM;;;;;;;
2020-01-24;106.0;59.0;;62.0;44.0;;;;33433.0;15755.0;17678.0;;;;0.28543958333333325;0.06749657725361898;6.0937173875231885;5.705421414399095;4.470182710394764;0.15051829242340628;0.07438786853205644;0.0649267018895752;0.0;0.0;-0.005418953333333332;0.0017920733333333333;0.04083021766666667;0.0;0.0;0.005242740998516428;0.001651887107502608;0.007598334345962136;10.0;1.0;2.0;2251.0;127.0;80.0;;10.0;;1.0;;2251.0;;127.0;['tk'];TKM;;;;;;;
2020-01-25;287.0;193.0;;138.0;149.0;;;;187701.0;109060.0;78641.0;;;;-0.2531286713286714;0.04763403444687197;5.485762936359683;5.317516786010799;4.311787683587344;0.057326713959676916;0.039528717175220496;0.03814004227442755;-0.001381436974789916;-0.0005655840336134452;-0.01445272058823528;0.0033002254901960764;0.04346423518407362;0.0009729401138976934;0.0005655840336134454;0.004409977143282814;0.0018377846159413746;0.004887155121334284;10.0;3.0;1.0;12886.0;543.0;119.0;;10.0;;3.0;;12886.0;;543.0;['tk'];TKM;;;;;;;
2020-01-26;250.0;166.0;;155.0;95.0;;;;233781.0;171010.0;62771.0;;;;-0.08011801801801799;0.050354863441706615;5.508010180122024;5.279679368633318;4.270884107851214;0.06543918213111621;0.05283869132545891;0.04750171590235685;-0.0012766559633027525;0.0;-0.03144751590214071;0.00012109021406727828;0.0676761721012423;0.0009093359153961064;0.0;0.003240802829322961;0.0007030417163091656;0.0034092184127758234;5.0;1.0;4.0;9882.0;135.0;1321.0;;5.0;;1.0;;9882.0;;135.0;['tk'];TKM;;;;;;;
2020-01-27;122.0;76.0;;76.0;46.0;;;;78496.0;59973.0;18523.0;;;;0.037459677419354805;0.07576099594031352;5.477195271395275;5.329100121673202;4.114090088543933;0.08905527609359963;0.06719520973503773;0.04918700791567352;-0.0009246944444444443;-0.0030199259259259263;-0.03249501620370368;0.0006160185185185185;0.07043668422986481;0.0014193076141192828;0.001714526724379255;0.0040101823002117575;0.0006160185185185187;0.004277206021731018;12.0;1.0;;3007.0;106.0;;;12.0;;1.0;;3007.0;;106.0;['tk'];TKM;;;;;;;
2020-01-28;100.0;55.0;;64.0;36.0;;;;64375.0;50634.0;13741.0;;;;-0.12142972972972975;0.10220034421826234;5.422366479049408;5.376989837398376;4.047745465916195;0.08289695606738799;0.07139160026667557;0.05527348899876473;-0.0010710789473684214;-0.002982710526315789;-0.02179076315789473;0.0036808157894736844;0.046313626190476166;0.0010710789473684214;0.002099757331677061;0.008185954670443113;0.0028666541077745273;0.009356620657784136;7.0;;3.0;4576.0;;8721.0;;7.0;;;;4576.0;;;['tk'];TKM;;;;;;;
2020-01-29;72.0;28.0;;32.0;40.0;;;;31812.0;8815.0;22997.0;;;;-0.16003333333333336;0.10703529887524964;5.098100577200578;5.2493984126984135;4.663781529581528;0.3003504532286897;0.21235596889022376;0.16514590475934185;-0.007113807692307692;-0.0035854615384615382;-0.020708153846153845;0.0012559999999999995;0.040532485164835166;0.0048191680629579145;0.0035854615384615382;0.01325301646208068;0.005496416831644002;0.018843054326580445;2.0;;2.0;499.0;;457.0;;2.0;;;;499.0;;;['tk'];TKM;;;;;;;
2020-01-30;102.0;54.0;;62.0;40.0;;;;122395.0;93007.0;29388.0;;;;-3.249999999999781e-05;0.08507290413397475;5.4623054168054175;5.298623691667808;4.293681325210737;0.12646577376277598;0.105417085747629;0.07423001043585592;-0.005072204545454546;0.0006362272727272727;-0.035606060606060586;-0.00016593939393939379;0.06818782716450215;0.0050722045454545455;0.005024415267364515;0.007585017422038931;0.0023116123573258943;0.007057621262219932;1.0;;8.0;106.0;;12010.0;;1.0;;;;106.0;;;['tk'];TKM;;;;;;;
2020-01-31;99.0;66.0;;64.0;35.0;;;;49112.0;32649.0;16463.0;;;;-0.05558627450980394;0.07900668862325902;5.324877859853818;5.272115713880135;4.22058957869054;0.12441573221350248;0.08621842023378602;0.08829190015036878;0.0;0.0;-0.03577855726495725;0.0012794230769230767;0.08196851121794874;0.0;0.0;0.005702322251161721;0.0012794230769230767;0.0036882742079662884;7.0;;4.0;3421.0;;824.0;;7.0;;;;3421.0;;;['tk'];TKM;;;;;;;
